标题： 求谢尔顿魔性的表情包 	 链接：http://tieba.baidu.com//p/6104952705 	 发帖人：ljkhlbt 	 发帖时间：4-18 	 回复数量： 0 
标题： 开心一刻 	 链接：http://tieba.baidu.com//p/6099818993 	 发帖人：day浮生如梦8 	 发帖时间：4-13 	 回复数量： 2 
标题： 第十一季 伯特的女友是谁？？？ 	 链接：http://tieba.baidu.com//p/6088558128 	 发帖人：shasdshasd 	 发帖时间：4-3 	 回复数量： 8 
标题： 这是那一季哪一集 	 链接：http://tieba.baidu.com//p/6099618814 	 发帖人：相信点报v 	 发帖时间：4-13 	 回复数量： 3 
标题： 探索椰语江南火锅的秘密：明明是清汤炖鸡为啥这么火？ 	 链接：http://tieba.baidu.com//p/6104305832 	 发帖人：黄冰蒙 	 发帖时间：4-17 	 回复数量： 0 
标题： 吼 	 链接：http://tieba.baidu.com//p/6104283924 	 发帖人：RM_禾黍秋风 	 发帖时间：4-17 	 回复数量： 0 
标题： 我觉得第一季的Sheldon的人设并没有完全稳定 比如说第一 	 链接：http://tieba.baidu.com//p/6062844066 	 发帖人：剑仙小白 	 发帖时间：3-10 	 回复数量： 13 
标题： 《聊斋群妖谱》变异桃花妖和阿宝生死离别 	 链接：http://tieba.baidu.com//p/6104163536 	 发帖人：二般的崽... 	 发帖时间：4-17 	 回复数量： 0 
标题： 有没有中英文对照剧本？ 	 链接：http://tieba.baidu.com//p/5733641595 	 发帖人：红蔻色 	 发帖时间：2018-06 	 回复数量： 2 
标题： 老妈催得急有看上的求带走 	 链接：http://tieba.baidu.com//p/6087910942 	 发帖人：tianxiaoqin85 	 发帖时间：4-2 	 回复数量： 7 
标题： 斯图尔特第二季的时候还很帅啊后 	 链接：http://tieba.baidu.com//p/5204199411 	 发帖人：久稚 	 发帖时间：2017-07 	 回复数量： 7 
标题： 《生活大爆炸》你可能不知道的21件事 	 链接：http://tieba.baidu.com//p/4432137688 	 发帖人：嘿_屁仔PuChi 	 发帖时间：2016-03 	 回复数量： 391 
标题： 质子教授真的死了么？那22集怎么做的？合成的？ 	 链接：http://tieba.baidu.com//p/3022921545 	 发帖人：skulltear 	 发帖时间：2014-05 	 回复数量： 44 
标题： 以前看的时候笑得不行，现在看却越来越心酸，尤其是莱呆的遭遇， 	 链接：http://tieba.baidu.com//p/6103192820 	 发帖人：自己自得 	 发帖时间：4-16 	 回复数量： 0 
标题： 求问：有什么ao3的shamy同人文推荐吗 	 链接：http://tieba.baidu.com//p/6055095326 	 发帖人：theleo 	 发帖时间：3-4 	 回复数量： 1 
标题： 艾伦秀在生活大爆炸里以前有没有客串过呢 	 链接：http://tieba.baidu.com//p/6095969931 	 发帖人：cunyukongchan 	 发帖时间：4-9 	 回复数量： 9 
标题： 求问 这是第六季哪一集来着 	 链接：http://tieba.baidu.com//p/6102793812 	 发帖人：Crab丨 	 发帖时间：4-16 	 回复数量： 0 
标题： 生活大爆炸里面人物的星座都是什么啊？ 	 链接：http://tieba.baidu.com//p/5830740337 	 发帖人：娆啦啦 	 发帖时间：2018-08 	 回复数量： 13 
标题： 很讨厌莱纳德。。。。 	 链接：http://tieba.baidu.com//p/972810578 	 发帖人：她称之为... 	 发帖时间：2013-11 	 回复数量： 179 
标题： 减税问题，新税法实施，季度销量不足30万免征增值税，月销量不 	 链接：http://tieba.baidu.com//p/6102594889 	 发帖人：wangbaichun311 	 发帖时间：4-15 	 回复数量： 1 
标题： 段落会议 	 链接：http://tieba.baidu.com//p/6102356474 	 发帖人：噶哈噶吗 	 发帖时间：4-15 	 回复数量： 1 
标题： 求这张图片出处 	 链接：http://tieba.baidu.com//p/5988972909 	 发帖人：只见一次... 	 发帖时间：2018-12 	 回复数量： 13 
标题： 生活大爆炸第六季第二集电影院里很轻快的背景音乐是啥呀 	 链接：http://tieba.baidu.com//p/6102001862 	 发帖人：Dellimma6 	 发帖时间：4-15 	 回复数量： 0 
标题： Raj和Lucy真的结束了么？ 	 链接：http://tieba.baidu.com//p/2787102301 	 发帖人：MissZBJvv 	 发帖时间：2013-12 	 回复数量： 2 
